District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.93147835,76.99926305,641050
Coimbatore,Z151,Coimbatore Bypass Flyover,trunk,70,10.94364765,77.011083,641038
Coimbatore,Z151,Coimbatore Bypass Flyover,trunk,70,10.94436235,77.0117789,641038
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.9202181,76.98831545,641050
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.9638334,77.0307058,641111
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.96330935,77.0302102,641111
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.9852485,77.0511576,641111
Coimbatore,Z115,Coimbatore Bypass,trunk,70,10.98568085,77.0515751,641016
Coimbatore,-,Unnamed Zone,trunk_link,30,11.00766485,77.0710606,641103
Coimbatore,Z115,Coimbatore Bypass,trunk,80,11.01438865,77.0740116,641103
Coimbatore,Z115,Coimbatore Bypass,trunk,70,11.01177305,77.07263495,641103
Coimbatore,Z115,Coimbatore Bypass,trunk,70,11.01754255,77.0746373,641103
Coimbatore,Z115,Coimbatore Bypass,trunk,70,11.0233007,77.0753011,641103
